province,georoc_citation_id,mapped,doi,year,title,doi_overlap_petdb,title_overlap_petdb,publication_overlap_petdb
Main Ethiopian Rift,2823,True,10.1016/0012-821X(96)00015-5,1996.0,MANTLE PLUME AND LITHOSPHERE CONTRIBUTIONS TO BASALTS FROM SOUTHERN ETHIOPIA,False,False,False
Main Ethiopian Rift,7785,True,10.1016/S0012-821X(96)00185-9,1996.0,HELIUM ISOTOPE RATIOS IN ETHIOPIAN RIFT BASALTS,False,False,False
Main Ethiopian Rift,7885,True,10.1093/petrology/egg068,2003.0,"RELATIONSHIPS BETWEEN MAFIC AND PERALKALINE SILICIC MAGMATISM IN CONTINENTAL RIFT SETTINGS: A PETROLOGICAL, GEOCHEMICAL AND ISOTOPIC STUDY OF THE GEDEMSA VOLCANO, CENTRAL ETHIOPIAN RIFT",False,True,True
Main Ethiopian Rift,8101,True,10.1016/0899-5362(93)90032-L,1993.0,"GENESIS OF THE PLIOCENE TO RECENT BIMODAL MAFIC-FELSIC VOLCANISM IN THE DEBRE ZEYT AREA, CENTRAL ETHIOPIA: VOLCANOLOGICAL AND GEOCHEMICAL CONSTRAINTS",False,False,False
Main Ethiopian Rift,8109,True,,1999.0,"FLUORINE AND CHLORINE DISTRIBUTION IN THE VOLCANIC ROCKS FROM THE GEDEMSA VOLCANO, ETHIOPIAN RIFT VALLEY",False,False,False
Main Ethiopian Rift,8111,True,,1999.0,PETROLOGY AND GEOCHEMISTRY OF QUATERNARY MAGMATISM IN THE NORTHERN SECTOR OF THE ETHIOPIAN RIFT BETWEEN DEBRE ZEIT AND AWASH PARK,False,False,False
Main Ethiopian Rift,8433,True,,1999.0,"THE PETROGENESIS OF PLIO-PLEISTOCENE ALKALINE VOLCANIC ROCKS FROM THE TOSA SUCHA REGION, ARBA MINCH, SOUTHERN MAIN ETHIOPIAN RIFT",False,True,True
Main Ethiopian Rift,8583,True,,1995.0,"CHEMICAL VARIATIONS IN A BIMODAL MAGMA SYSTEM: THE PLIO-QUATERNARY VOLCANISM IN THE DERA NAZRET AREA (MAIN ETHIOPIAN RIFT, ETHIOPIA)",False,False,False
Main Ethiopian Rift,8669,True,10.1016/j.gca.2005.03.043,2005.0,STRUCTURE OF THE ETHIOPIAN LITHOSPHERE: XENOLITH EVIDENCE IN THE MAIN ETHIOPIAN RIFT,False,False,False
Main Ethiopian Rift,9692,True,10.2343/geochemj.40.47,2006.0,"SUB-LITHOSPHERIC SOURCE FOR QUATERNARY ALKALINE TEPUI SHIELD, SOUTHWEST ETHIOPIA",False,False,False
Main Ethiopian Rift,10544,True,10.1144/GSL.SP.2006.259.01.09,2006.0,HEADS AND TAILS: 30 MILLION YEARS OF THE AFAR PLUME,False,False,False
Main Ethiopian Rift,10882,True,10.1029/2006JB004916,2007.0,LITHOSPHERIC MODIFICATION DURING CRUSTAL EXTENSION IN THE MAIN ETHIOPIAN RIFT,False,False,False
Main Ethiopian Rift,14226,True,10.1007/s00710-009-0064-3,2010.0,PETROGENESIS OF A BASALT-COMENDITE-PANTELLERITE ROCK SUITE: THE BOSETI VOLCANIC COMPLEX (MAIN ETHIOPIAN RIFT),False,True,True
Main Ethiopian Rift,14437,True,10.1016/j.lithos.2010.02.002,2010.0,GEOCHEMICAL EVIDENCE OF LITHOSPHERIC THINNING IN THE SOUTHERN MAIN ETHIOPIAN RIFT,False,False,False
Main Ethiopian Rift,15821,True,10.1093/petrology/egr065,2012.0,UPPER MANTLE POLLUTION DURING AFAR PLUME-CONTINENTAL RIFT INTERACTION,False,False,False
Main Ethiopian Rift,18206,True,10.1016/j.lithos.2013.08.008,2014.0,GENESIS AND EVOLUTION OF MAFIC AND FELSIC MAGMAS AT QUATERNARY VOLCANOES WITHIN THE MAIN ETHIOPIAN RIFT: INSIGHTS FROM GEDEMSA AND FANTA ^ALE COMPLEXES,False,True,True
Main Ethiopian Rift,20336,True,10.1016/j.lithos.2016.04.001,2016.0,PETROGENESIS AND ORIGIN OF MODERN ETHIOPIAN RIFT BASALTS: CONSTRAINTS FROM ISOTOPE AND TRACE ELEMENT GEOCHEMISTRY,False,False,False
Main Ethiopian Rift,21950,True,10.1016/j.epsl.2018.02.027,2018.0,THE EVOLUTION OF MAGMA DURING CONTINENTAL RIFTING: NEW CONSTRAINTS FROM THE ISOTOPIC AND TRACE ELEMENT SIGNATURES OF SILICIC MAGMAS FROM ETHIOPIAN VOLCANOES,False,True,True
Main Ethiopian Rift,21997,True,10.1038/nature12292,2013.0,MELTING DURING LATE-STAGE RIFTING IN AFAR IS HOT AND DEEP,False,False,False
Main Ethiopian Rift,22192,True,10.1016/j.chemgeo.2018.05.037,2018.0,"TRACE ELEMENT SYSTEMATICS AND ND, SR AND PB ISOTOPES OF PLIOCENE FLOOD BASALT MAGMAS (ETHIOPIAN RIFT): A CASE FOR AFAR PLUME-LITHOSPHERE INTERACTION",False,True,True
